shocktest Q3-NOT-HL copies=var Audit=var Glitch=0 Shock=0 lifem=var seedXXX 
(test of summ-shock.r unchanged from audit but with line breaks) 
13      2500        1     3 8127  670.9  28.6  0.9 0.0  0
14      2500        1     5 6326  249.4   5.1  0.0 0.0  0
15      2500        1    10 3937   61.5   0.2  0.0 0.0  0
16      2500        1    20 2215   16.4   0.0  0.0 0.0  0
17      2500        1    30 1549    5.9   0.0  0.0 0.0  0
18      2500        1    50  949    2.8   0.0  0.0 0.0  0
19      2500        1   100  488    1.0   0.0  0.0 0.0  0
20      2500        1   200  244    0.0   0.0  0.0 0.0  0
21      2500        1   300  169    0.0   0.0  0.0 0.0  0
22      2500        1   500  104    0.0   0.0  0.0 0.0  0
23      2500        1  1000   50    0.0   0.0  0.0 0.0  0
24      2500        1  2000   25    0.0   0.0  0.0 0.0  0
25     10000        1     3 8127 2116.5 354.1 55.9 8.5  0
26     10000        1     5 6326  885.5  90.6  6.8 0.9  0
27     10000        1    10 3937  241.4  10.8  0.2 0.0  0
28     10000        1    20 2215   63.6   0.9  0.0 0.0  0
29     10000        1    30 1549   29.4   0.2  0.0 0.0  0
30     10000        1    50  949   11.1   0.0  0.0 0.0  0
31     10000        1   100  488    3.0   0.0  0.0 0.0  0
32     10000        1   200  244    0.9   0.0  0.0 0.0  0
33     10000        1   300  169    0.0   0.0  0.0 0.0  0
34     10000        1   500  104    0.0   0.0  0.0 0.0  0
35     10000        1  1000   50    0.0   0.0  0.0 0.0  0
36     10000        1  2000   25    0.0   0.0  0.0 0.0  0


